Reference area,Health status,TIME_PERIOD,OBS_VALUE
Slovak Republic,Bad/very bad health,2006,18.1
Slovak Republic,Bad/very bad health,2007,17.8
Slovak Republic,Bad/very bad health,2008,15.8
Slovak Republic,Bad/very bad health,2009,14.7
Slovak Republic,Bad/very bad health,2010,13.8
Slovak Republic,Bad/very bad health,2011,13.5
Slovak Republic,Bad/very bad health,2012,12.6
Slovak Republic,Bad/very bad health,2013,11.9
Slovak Republic,Bad/very bad health,2014,12.7
Slovak Republic,Bad/very bad health,2015,12.3
Slovak Republic,Bad/very bad health,2016,11.8
Slovak Republic,Bad/very bad health,2017,11.3
Slovak Republic,Bad/very bad health,2018,12
Slovak Republic,Bad/very bad health,2019,12.6
Slovak Republic,Bad/very bad health,2020,13.2
Slovak Republic,Bad/very bad health,2021,13.2
Slovak Republic,Bad/very bad health,2022,12.3
Slovak Republic,"Fair (not good, not bad) health",2005,30.3
Slovak Republic,"Fair (not good, not bad) health",2006,29.8
Slovak Republic,"Fair (not good, not bad) health",2007,29.3
Slovak Republic,"Fair (not good, not bad) health",2008,24.6
Slovak Republic,"Fair (not good, not bad) health",2009,23.4
Slovak Republic,"Fair (not good, not bad) health",2010,22.6
Slovak Republic,"Fair (not good, not bad) health",2011,23.3
Slovak Republic,"Fair (not good, not bad) health",2012,21.7
Slovak Republic,"Fair (not good, not bad) health",2013,22.2
Slovak Republic,"Fair (not good, not bad) health",2014,22.6
Slovak Republic,"Fair (not good, not bad) health",2015,21.8
Slovak Republic,"Fair (not good, not bad) health",2016,21.9
Slovak Republic,"Fair (not good, not bad) health",2017,21.8
Slovak Republic,"Fair (not good, not bad) health",2018,21.4
Slovak Republic,"Fair (not good, not bad) health",2019,22.4
Slovak Republic,"Fair (not good, not bad) health",2020,21.7
Slovak Republic,"Fair (not good, not bad) health",2021,21.7
Slovak Republic,"Fair (not good, not bad) health",2022,21.7
Estonia,Good/very good health,2004,49.8
Estonia,Good/very good health,2005,53.8
Estonia,Good/very good health,2006,53.2
Estonia,Good/very good health,2007,53.3
Estonia,Good/very good health,2008,54.5
Estonia,Good/very good health,2009,51.5
Estonia,Good/very good health,2010,52.7
Estonia,Good/very good health,2011,51.8
Estonia,Good/very good health,2012,52.4
Estonia,Good/very good health,2013,53.4
Estonia,Good/very good health,2014,51.8
Estonia,Good/very good health,2015,51.4
Estonia,Good/very good health,2016,52.8
Estonia,Good/very good health,2017,52.5
Estonia,Good/very good health,2018,51.6
Estonia,Good/very good health,2019,56.5
Estonia,Good/very good health,2020,58.4
Estonia,Good/very good health,2021,58.2
Estonia,Good/very good health,2022,57.7
Greece,"Fair (not good, not bad) health",2004,13.5
Greece,"Fair (not good, not bad) health",2005,13.7
Greece,"Fair (not good, not bad) health",2006,14.1
Greece,"Fair (not good, not bad) health",2007,14.6
Greece,"Fair (not good, not bad) health",2008,14.6
Greece,"Fair (not good, not bad) health",2009,14.9
Greece,"Fair (not good, not bad) health",2010,14.8
Greece,"Fair (not good, not bad) health",2011,14.6
Greece,"Fair (not good, not bad) health",2012,15.8
Greece,"Fair (not good, not bad) health",2013,15.6
Greece,"Fair (not good, not bad) health",2014,15.8
Greece,"Fair (not good, not bad) health",2015,15.6
Greece,"Fair (not good, not bad) health",2016,15.7
Greece,"Fair (not good, not bad) health",2017,15.6
Greece,"Fair (not good, not bad) health",2018,14.5
Greece,"Fair (not good, not bad) health",2019,14.2
Greece,"Fair (not good, not bad) health",2020,14.9
Greece,"Fair (not good, not bad) health",2021,15.4
Greece,"Fair (not good, not bad) health",2022,15.5
Germany,"Fair (not good, not bad) health",2005,30.5
Germany,"Fair (not good, not bad) health",2006,30.1
Germany,"Fair (not good, not bad) health",2007,30.7
Germany,"Fair (not good, not bad) health",2008,27.5
Germany,"Fair (not good, not bad) health",2009,27
Germany,"Fair (not good, not bad) health",2010,26.7
Germany,"Fair (not good, not bad) health",2011,27
Germany,"Fair (not good, not bad) health",2012,26
Germany,"Fair (not good, not bad) health",2013,27
Germany,"Fair (not good, not bad) health",2014,26.8
Germany,"Fair (not good, not bad) health",2015,27.1
Germany,"Fair (not good, not bad) health",2016,26.5
Germany,"Fair (not good, not bad) health",2017,26.1
Germany,"Fair (not good, not bad) health",2018,26.1
Germany,"Fair (not good, not bad) health",2019,25.9
Germany,"Fair (not good, not bad) health",2020,23.9
Germany,"Fair (not good, not bad) health",2021,24.6
Germany,"Fair (not good, not bad) health",2022,24.3
Korea,Good/very good health,2003,42.9
Korea,Good/very good health,2006,44.6
Korea,Good/very good health,2008,51.6
Korea,Good/very good health,2010,46.8
Korea,Good/very good health,2012,44.3
Korea,Good/very good health,2014,47.7
Korea,Good/very good health,2016,46.3
Korea,Good/very good health,2018,48.1
Korea,Good/very good health,2020,49.6
Korea,Good/very good health,2022,52.4
Denmark,Good/very good health,2004,77.6
Denmark,Good/very good health,2005,76.6
Denmark,Good/very good health,2006,75
Denmark,Good/very good health,2007,75.3
Denmark,Good/very good health,2008,74.2
Denmark,Good/very good health,2009,72.3
Denmark,Good/very good health,2010,71
Denmark,Good/very good health,2011,71.7
Denmark,Good/very good health,2012,71
Denmark,Good/very good health,2013,72.5
Denmark,Good/very good health,2014,72.4
Denmark,Good/very good health,2015,71.6
Denmark,Good/very good health,2016,71.3
Denmark,Good/very good health,2017,71.2
Denmark,Good/very good health,2018,71.1
Denmark,Good/very good health,2019,69.6
Denmark,Good/very good health,2020,71.2
Denmark,Good/very good health,2021,68.6
Denmark,Good/very good health,2022,64.8
New Zealand,Good/very good health,2003,89.6
New Zealand,Good/very good health,2007,89.6
New Zealand,Good/very good health,2012,89.2
New Zealand,Good/very good health,2013,89.5
New Zealand,Good/very good health,2014,91.4
New Zealand,Good/very good health,2015,88.9
New Zealand,Good/very good health,2016,87.7
New Zealand,Good/very good health,2017,88.2
New Zealand,Good/very good health,2018,87.4
New Zealand,Good/very good health,2019,86.1
New Zealand,Good/very good health,2020,87
New Zealand,Good/very good health,2021,88
New Zealand,Good/very good health,2022,88.4
Korea,"Fair (not good, not bad) health",2003,39.5
Korea,"Fair (not good, not bad) health",2006,39.9
Korea,"Fair (not good, not bad) health",2008,34.5
Korea,"Fair (not good, not bad) health",2010,37.5
Korea,"Fair (not good, not bad) health",2012,39.2
Korea,"Fair (not good, not bad) health",2014,36.7
Korea,"Fair (not good, not bad) health",2016,38.3
Korea,"Fair (not good, not bad) health",2018,36.6
Korea,"Fair (not good, not bad) health",2020,36.5
Korea,"Fair (not good, not bad) health",2022,35.3
Iceland,"Fair (not good, not bad) health",2004,14.8
Iceland,"Fair (not good, not bad) health",2005,14.4
Iceland,"Fair (not good, not bad) health",2006,14.3
Iceland,"Fair (not good, not bad) health",2007,16.3
Iceland,"Fair (not good, not bad) health",2008,15.3
Iceland,"Fair (not good, not bad) health",2009,15.4
Iceland,"Fair (not good, not bad) health",2010,17
Iceland,"Fair (not good, not bad) health",2011,16
Iceland,"Fair (not good, not bad) health",2012,18.1
Iceland,"Fair (not good, not bad) health",2013,17.5
Iceland,"Fair (not good, not bad) health",2014,17.5
Iceland,"Fair (not good, not bad) health",2015,18
Iceland,"Fair (not good, not bad) health",2016,17.5
Iceland,"Fair (not good, not bad) health",2017,17
Iceland,"Fair (not good, not bad) health",2018,17.6
Israel,Good/very good health,2002,76.8
Israel,Good/very good health,2003,77.4
Israel,Good/very good health,2004,76.8
Israel,Good/very good health,2005,77.3
Israel,Good/very good health,2006,78.9
Israel,Good/very good health,2007,79.1
Israel,Good/very good health,2008,79.7
Israel,Good/very good health,2009,79.8
Israel,Good/very good health,2010,81.1
Israel,Good/very good health,2011,81.5
Israel,Good/very good health,2012,83.5
Israel,Good/very good health,2013,80
Israel,Good/very good health,2014,84.3
Israel,Good/very good health,2015,83.9
Israel,Good/very good health,2016,83.6
Israel,Good/very good health,2017,74.1
Israel,Good/very good health,2018,73.9
Israel,Good/very good health,2019,73.8
Israel,Good/very good health,2020,75.7
Israel,Good/very good health,2021,73.8
Bulgaria,Good/very good health,2008,62.2
Bulgaria,Good/very good health,2009,65.2
Bulgaria,Good/very good health,2010,67.1
Bulgaria,Good/very good health,2011,67.1
Bulgaria,Good/very good health,2012,66.6
Bulgaria,Good/very good health,2013,66.3
Bulgaria,Good/very good health,2014,65.7
Bulgaria,Good/very good health,2015,65.4
Bulgaria,Good/very good health,2016,65.7
Bulgaria,Good/very good health,2017,66.5
Bulgaria,Good/very good health,2018,66.3
Bulgaria,Good/very good health,2019,67.1
Bulgaria,Good/very good health,2020,66.6
Bulgaria,Good/very good health,2021,67.5
Bulgaria,Good/very good health,2022,68.1
Israel,Bad/very bad health,2002,23.2
Israel,Bad/very bad health,2003,22.6
Israel,Bad/very bad health,2004,23.2
Israel,Bad/very bad health,2005,22.7
Israel,Bad/very bad health,2006,21.1
Israel,Bad/very bad health,2007,20.9
Israel,Bad/very bad health,2008,20.3
Israel,Bad/very bad health,2009,20.2
Israel,Bad/very bad health,2010,18.9
Israel,Bad/very bad health,2011,18.5
Israel,Bad/very bad health,2012,16.5
Israel,Bad/very bad health,2013,20
Israel,Bad/very bad health,2014,15.5
Israel,Bad/very bad health,2015,16
Israel,Bad/very bad health,2016,16.1
Israel,Bad/very bad health,2017,10.9
Israel,Bad/very bad health,2018,10.8
Israel,Bad/very bad health,2019,11
Israel,Bad/very bad health,2020,9.4
Israel,Bad/very bad health,2021,10.9
Slovak Republic,Good/very good health,2005,52
Slovak Republic,Good/very good health,2006,52
Slovak Republic,Good/very good health,2007,52.9
Slovak Republic,Good/very good health,2008,59.6
Slovak Republic,Good/very good health,2009,61.9
Slovak Republic,Good/very good health,2010,63.5
Slovak Republic,Good/very good health,2011,63.2
Slovak Republic,Good/very good health,2012,65.7
Slovak Republic,Good/very good health,2013,65.9
Slovak Republic,Good/very good health,2014,64.7
Slovak Republic,Good/very good health,2015,65.9
Slovak Republic,Good/very good health,2016,66.3
Slovak Republic,Good/very good health,2017,67
Slovak Republic,Good/very good health,2018,66.6
Slovak Republic,Good/very good health,2019,65.1
Slovak Republic,Good/very good health,2020,65.1
Slovak Republic,Good/very good health,2021,65.1
Slovak Republic,Good/very good health,2022,66.1
Belgium,Bad/very bad health,2004,8.7
Belgium,Bad/very bad health,2005,8.2
Belgium,Bad/very bad health,2006,8.4
Belgium,Bad/very bad health,2007,8.3
Belgium,Bad/very bad health,2008,8.2
Belgium,Bad/very bad health,2009,8.7
Belgium,Bad/very bad health,2010,9.1
Belgium,Bad/very bad health,2011,9.6
Belgium,Bad/very bad health,2012,8.8
Belgium,Bad/very bad health,2013,8.6
Belgium,Bad/very bad health,2014,9.2
Belgium,Bad/very bad health,2015,9.4
Belgium,Bad/very bad health,2016,9.2
Belgium,Bad/very bad health,2017,8.6
Belgium,Bad/very bad health,2018,8.7
Belgium,Bad/very bad health,2019,9.1
Belgium,Bad/very bad health,2020,7.8
Belgium,Bad/very bad health,2021,8
Belgium,Bad/very bad health,2022,8
Luxembourg,"Fair (not good, not bad) health",2004,18
Luxembourg,"Fair (not good, not bad) health",2005,18.5
Luxembourg,"Fair (not good, not bad) health",2006,18.5
Luxembourg,"Fair (not good, not bad) health",2007,18.5
Luxembourg,"Fair (not good, not bad) health",2008,18.3
Luxembourg,"Fair (not good, not bad) health",2009,17.6
Luxembourg,"Fair (not good, not bad) health",2010,16.8
Luxembourg,"Fair (not good, not bad) health",2011,19.6
Luxembourg,"Fair (not good, not bad) health",2012,18.9
Luxembourg,"Fair (not good, not bad) health",2013,19.8
Luxembourg,"Fair (not good, not bad) health",2014,18.9
Luxembourg,"Fair (not good, not bad) health",2015,20.9
Luxembourg,"Fair (not good, not bad) health",2016,21.3
Luxembourg,"Fair (not good, not bad) health",2017,19.7
Luxembourg,"Fair (not good, not bad) health",2018,21.2
Luxembourg,"Fair (not good, not bad) health",2019,19.3
Luxembourg,"Fair (not good, not bad) health",2020,18.7
Luxembourg,"Fair (not good, not bad) health",2021,17.7
Luxembourg,"Fair (not good, not bad) health",2022,20
Türkiye,Good/very good health,2003,55
Türkiye,Good/very good health,2006,63.4
Türkiye,Good/very good health,2007,66.8
Türkiye,Good/very good health,2008,67.9
Türkiye,Good/very good health,2009,65.1
Türkiye,Good/very good health,2010,66
Türkiye,Good/very good health,2011,67.2
Türkiye,Good/very good health,2012,68.6
Türkiye,Good/very good health,2013,67.8
Türkiye,Good/very good health,2014,68.1
Türkiye,Good/very good health,2015,66.4
Türkiye,Good/very good health,2016,69.4
Türkiye,Good/very good health,2017,68.8
Türkiye,Good/very good health,2018,67.6
Türkiye,Good/very good health,2019,66.9
Türkiye,Good/very good health,2020,69.4
Türkiye,Good/very good health,2021,67.8
Italy,Bad/very bad health,2000,7.7
Italy,Bad/very bad health,2001,7.4
Italy,Bad/very bad health,2002,7.2
Italy,Bad/very bad health,2003,7.7
Italy,Bad/very bad health,2004,10.6
Italy,Bad/very bad health,2005,9.9
Italy,Bad/very bad health,2006,10.6
Italy,Bad/very bad health,2007,11
Italy,Bad/very bad health,2008,11.2
Italy,Bad/very bad health,2009,10.9
Italy,Bad/very bad health,2010,9.5
Italy,Bad/very bad health,2011,13.1
Italy,Bad/very bad health,2012,12.6
Italy,Bad/very bad health,2013,12.5
Italy,Bad/very bad health,2014,12
Italy,Bad/very bad health,2015,12.4
Italy,Bad/very bad health,2016,7.7
Italy,Bad/very bad health,2017,5.8
Italy,Bad/very bad health,2018,6.8
Italy,Bad/very bad health,2019,7
Italy,Bad/very bad health,2021,8.1
Italy,Bad/very bad health,2022,6.7
Slovenia,Bad/very bad health,2005,16.2
Slovenia,Bad/very bad health,2006,15.8
Slovenia,Bad/very bad health,2007,14.5
Slovenia,Bad/very bad health,2008,14.2
Slovenia,Bad/very bad health,2009,13.3
Slovenia,Bad/very bad health,2010,13.3
Slovenia,Bad/very bad health,2011,13.3
Slovenia,Bad/very bad health,2012,12.5
Slovenia,Bad/very bad health,2013,10.7
Slovenia,Bad/very bad health,2014,11
Slovenia,Bad/very bad health,2015,11.6
Slovenia,Bad/very bad health,2016,10
Slovenia,Bad/very bad health,2017,9.7
Slovenia,Bad/very bad health,2018,9.7
Slovenia,Bad/very bad health,2019,9.6
Slovenia,Bad/very bad health,2020,9.5
Slovenia,Bad/very bad health,2021,8.3
Slovenia,Bad/very bad health,2022,6.9
Hungary,Bad/very bad health,2005,21.9
Hungary,Bad/very bad health,2006,20.4
Hungary,Bad/very bad health,2007,22.1
Hungary,Bad/very bad health,2008,19.3
Hungary,Bad/very bad health,2009,17.6
Hungary,Bad/very bad health,2010,16.6
Hungary,Bad/very bad health,2011,16.4
Hungary,Bad/very bad health,2012,16.4
Hungary,Bad/very bad health,2013,16
Hungary,Bad/very bad health,2014,15.9
Hungary,Bad/very bad health,2015,15.8
Hungary,Bad/very bad health,2016,13.3
Hungary,Bad/very bad health,2017,13
Hungary,Bad/very bad health,2018,11.9
Hungary,Bad/very bad health,2019,11.8
Hungary,Bad/very bad health,2020,9.9
Hungary,Bad/very bad health,2021,8.2
Hungary,Bad/very bad health,2022,10
Iceland,Good/very good health,2004,78.7
Iceland,Good/very good health,2005,79.5
Iceland,Good/very good health,2006,80.9
Iceland,Good/very good health,2007,79.2
Iceland,Good/very good health,2008,80.5
Iceland,Good/very good health,2009,80.3
Iceland,Good/very good health,2010,77.8
Iceland,Good/very good health,2011,77.6
Iceland,Good/very good health,2012,76.8
Iceland,Good/very good health,2013,76.6
Iceland,Good/very good health,2014,76.1
Iceland,Good/very good health,2015,76.3
Iceland,Good/very good health,2016,76.1
Iceland,Good/very good health,2017,77.3
Iceland,Good/very good health,2018,76.6
Lithuania,Bad/very bad health,2005,19.6
Lithuania,Bad/very bad health,2006,18.3
Lithuania,Bad/very bad health,2007,16.7
Lithuania,Bad/very bad health,2008,18.9
Lithuania,Bad/very bad health,2009,18.6
Lithuania,Bad/very bad health,2010,18.7
Lithuania,Bad/very bad health,2011,19.9
Lithuania,Bad/very bad health,2012,20.6
Lithuania,Bad/very bad health,2013,18.7
Lithuania,Bad/very bad health,2014,17.9
Lithuania,Bad/very bad health,2015,17.7
Lithuania,Bad/very bad health,2016,17.1
Lithuania,Bad/very bad health,2017,16.4
Lithuania,Bad/very bad health,2018,15.8
Lithuania,Bad/very bad health,2019,15.2
Lithuania,Bad/very bad health,2020,15.3
Lithuania,Bad/very bad health,2021,13.1
Lithuania,Bad/very bad health,2022,12.9
Sweden,Bad/very bad health,2004,7.4
Sweden,Bad/very bad health,2005,6
Sweden,Bad/very bad health,2006,5.9
Sweden,Bad/very bad health,2007,5.2
Sweden,Bad/very bad health,2008,5.8
Sweden,Bad/very bad health,2009,5.7
Sweden,Bad/very bad health,2010,5.4
Sweden,Bad/very bad health,2011,5.4
Sweden,Bad/very bad health,2012,4.9
Sweden,Bad/very bad health,2013,4.6
Sweden,Bad/very bad health,2014,4.6
Sweden,Bad/very bad health,2015,4.5
Sweden,Bad/very bad health,2016,5.6
Sweden,Bad/very bad health,2017,5.7
Sweden,Bad/very bad health,2018,5.7
Sweden,Bad/very bad health,2019,5.1
Sweden,Bad/very bad health,2020,5.2
Sweden,Bad/very bad health,2021,6.4
Sweden,Bad/very bad health,2022,7.6
Portugal,Bad/very bad health,2004,21.2
Portugal,Bad/very bad health,2005,20.6
Portugal,Bad/very bad health,2006,20.1
Portugal,Bad/very bad health,2007,19
Portugal,Bad/very bad health,2008,19.6
Portugal,Bad/very bad health,2009,19.5
Portugal,Bad/very bad health,2010,20.3
Portugal,Bad/very bad health,2011,18
Portugal,Bad/very bad health,2012,18.2
Portugal,Bad/very bad health,2013,18.6
Portugal,Bad/very bad health,2014,18.3
Portugal,Bad/very bad health,2015,18
Portugal,Bad/very bad health,2016,15.9
Portugal,Bad/very bad health,2017,15.3
Portugal,Bad/very bad health,2018,15.5
Portugal,Bad/very bad health,2019,15.2
Portugal,Bad/very bad health,2020,13.3
Portugal,Bad/very bad health,2021,13.3
Portugal,Bad/very bad health,2022,13.2
Korea,Bad/very bad health,2003,17.6
Korea,Bad/very bad health,2006,15.5
Korea,Bad/very bad health,2008,14
Korea,Bad/very bad health,2010,15.7
Korea,Bad/very bad health,2012,16.5
Korea,Bad/very bad health,2014,15.6
Korea,Bad/very bad health,2016,15.4
Korea,Bad/very bad health,2018,15.4
Korea,Bad/very bad health,2020,13.8
Korea,Bad/very bad health,2022,12.3
Austria,Good/very good health,2004,71.2
Austria,Good/very good health,2005,71.7
Austria,Good/very good health,2006,72
Austria,Good/very good health,2007,72.3
Austria,Good/very good health,2008,70
Austria,Good/very good health,2009,70
Austria,Good/very good health,2010,69.5
Austria,Good/very good health,2011,68.7
Austria,Good/very good health,2012,70
Austria,Good/very good health,2013,68.6
Austria,Good/very good health,2014,69.5
Austria,Good/very good health,2015,69.8
Austria,Good/very good health,2016,70.2
Austria,Good/very good health,2017,70.3
Austria,Good/very good health,2018,71.7
Austria,Good/very good health,2019,71.2
Austria,Good/very good health,2020,74
Austria,Good/very good health,2021,72.2
Austria,Good/very good health,2022,70.1
Luxembourg,Bad/very bad health,2004,9.7
Luxembourg,Bad/very bad health,2005,7.9
Luxembourg,Bad/very bad health,2006,7.3
Luxembourg,Bad/very bad health,2007,7.1
Luxembourg,Bad/very bad health,2008,7.7
Luxembourg,Bad/very bad health,2009,8.4
Luxembourg,Bad/very bad health,2010,8
Luxembourg,Bad/very bad health,2011,7.9
Luxembourg,Bad/very bad health,2012,7.4
Luxembourg,Bad/very bad health,2013,8.3
Luxembourg,Bad/very bad health,2014,8.3
Luxembourg,Bad/very bad health,2015,8.7
Luxembourg,Bad/very bad health,2016,9.6
Luxembourg,Bad/very bad health,2017,9.2
Luxembourg,Bad/very bad health,2018,10.2
Luxembourg,Bad/very bad health,2019,9
Luxembourg,Bad/very bad health,2020,7.8
Luxembourg,Bad/very bad health,2021,5.9
Luxembourg,Bad/very bad health,2022,5.7
Japan,Good/very good health,2001,38.2
Japan,Good/very good health,2004,38.7
Japan,Good/very good health,2007,32.7
Japan,Good/very good health,2010,30
Japan,Good/very good health,2013,35.4
Japan,Good/very good health,2016,35.5
Japan,Good/very good health,2019,36.6
United States,"Fair (not good, not bad) health",2000,8.4
United States,"Fair (not good, not bad) health",2001,8.6
United States,"Fair (not good, not bad) health",2002,8.8
United States,"Fair (not good, not bad) health",2003,8.8
United States,"Fair (not good, not bad) health",2004,8.9
United States,"Fair (not good, not bad) health",2005,8.9
United States,"Fair (not good, not bad) health",2006,9.2
United States,"Fair (not good, not bad) health",2007,9.3
United States,"Fair (not good, not bad) health",2008,9.3
United States,"Fair (not good, not bad) health",2009,9.4
United States,"Fair (not good, not bad) health",2010,9.6
United States,"Fair (not good, not bad) health",2011,10
United States,"Fair (not good, not bad) health",2012,9.8
United States,"Fair (not good, not bad) health",2013,9.8
United States,"Fair (not good, not bad) health",2014,9.4
United States,"Fair (not good, not bad) health",2015,9.7
United States,"Fair (not good, not bad) health",2016,9.6
United States,"Fair (not good, not bad) health",2017,9.7
United States,"Fair (not good, not bad) health",2018,9.6
United States,"Fair (not good, not bad) health",2019,11.6
United States,"Fair (not good, not bad) health",2020,10.8
United States,"Fair (not good, not bad) health",2021,10.5
Czechia,"Fair (not good, not bad) health",2005,28.1
Czechia,"Fair (not good, not bad) health",2006,27.4
Czechia,"Fair (not good, not bad) health",2007,26.4
Czechia,"Fair (not good, not bad) health",2008,25.6
Czechia,"Fair (not good, not bad) health",2009,26.1
Czechia,"Fair (not good, not bad) health",2010,25.6
Czechia,"Fair (not good, not bad) health",2011,28
Czechia,"Fair (not good, not bad) health",2012,26.8
Czechia,"Fair (not good, not bad) health",2013,27.6
Czechia,"Fair (not good, not bad) health",2014,27.7
Czechia,"Fair (not good, not bad) health",2015,27.7
Czechia,"Fair (not good, not bad) health",2016,27.9
Czechia,"Fair (not good, not bad) health",2017,27.1
Czechia,"Fair (not good, not bad) health",2018,27.3
Czechia,"Fair (not good, not bad) health",2019,27.8
Czechia,"Fair (not good, not bad) health",2020,27.3
Czechia,"Fair (not good, not bad) health",2021,23.7
Czechia,"Fair (not good, not bad) health",2022,23.4
Croatia,"Fair (not good, not bad) health",2010,25.1
Croatia,"Fair (not good, not bad) health",2011,26.9
Croatia,"Fair (not good, not bad) health",2012,27.1
Croatia,"Fair (not good, not bad) health",2013,28.2
Croatia,"Fair (not good, not bad) health",2014,22.1
Croatia,"Fair (not good, not bad) health",2015,22
Croatia,"Fair (not good, not bad) health",2016,22.3
Croatia,"Fair (not good, not bad) health",2017,21
Croatia,"Fair (not good, not bad) health",2018,22.2
Croatia,"Fair (not good, not bad) health",2019,22.8
Croatia,"Fair (not good, not bad) health",2020,21.5
Croatia,"Fair (not good, not bad) health",2021,23.3
Croatia,"Fair (not good, not bad) health",2022,22.9
Latvia,"Fair (not good, not bad) health",2005,43.3
Latvia,"Fair (not good, not bad) health",2006,39.6
Latvia,"Fair (not good, not bad) health",2007,38.4
Latvia,"Fair (not good, not bad) health",2008,38.4
Latvia,"Fair (not good, not bad) health",2009,37.1
Latvia,"Fair (not good, not bad) health",2010,34.7
Latvia,"Fair (not good, not bad) health",2011,36.3
Latvia,"Fair (not good, not bad) health",2012,38
Latvia,"Fair (not good, not bad) health",2013,38.1
Latvia,"Fair (not good, not bad) health",2014,37.1
Latvia,"Fair (not good, not bad) health",2015,37.5
Latvia,"Fair (not good, not bad) health",2016,37.1
Latvia,"Fair (not good, not bad) health",2017,38.8
Latvia,"Fair (not good, not bad) health",2018,37.6
Latvia,"Fair (not good, not bad) health",2019,37.5
Latvia,"Fair (not good, not bad) health",2020,36.6
Latvia,"Fair (not good, not bad) health",2021,37.1
Latvia,"Fair (not good, not bad) health",2022,35.7
Ireland,"Fair (not good, not bad) health",2004,13.4
Ireland,"Fair (not good, not bad) health",2005,13.6
Ireland,"Fair (not good, not bad) health",2006,13.7
Ireland,"Fair (not good, not bad) health",2007,13.4
Ireland,"Fair (not good, not bad) health",2008,13.1
Ireland,"Fair (not good, not bad) health",2009,14.1
Ireland,"Fair (not good, not bad) health",2010,14
Ireland,"Fair (not good, not bad) health",2011,13.8
Ireland,"Fair (not good, not bad) health",2012,14.2
Ireland,"Fair (not good, not bad) health",2013,14.4
Ireland,"Fair (not good, not bad) health",2014,13.4
Ireland,"Fair (not good, not bad) health",2015,13.7
Ireland,"Fair (not good, not bad) health",2016,13.6
Ireland,"Fair (not good, not bad) health",2017,13.4
Ireland,"Fair (not good, not bad) health",2018,12.5
Ireland,"Fair (not good, not bad) health",2019,12.9
Ireland,"Fair (not good, not bad) health",2020,12.4
Ireland,"Fair (not good, not bad) health",2021,13.7
Ireland,"Fair (not good, not bad) health",2022,14.6
Czechia,Good/very good health,2005,58.9
Czechia,Good/very good health,2006,59.2
Czechia,Good/very good health,2007,61.2
Czechia,Good/very good health,2008,61.4
Czechia,Good/very good health,2009,61.3
Czechia,Good/very good health,2010,62.2
Czechia,Good/very good health,2011,59.4
Czechia,Good/very good health,2012,60.4
Czechia,Good/very good health,2013,59.6
Czechia,Good/very good health,2014,60.6
Czechia,Good/very good health,2015,61.2
Czechia,Good/very good health,2016,60.3
Czechia,Good/very good health,2017,61.8
Czechia,Good/very good health,2018,62
Czechia,Good/very good health,2019,61.9
Czechia,Good/very good health,2020,63.4
Czechia,Good/very good health,2021,67.7
Czechia,Good/very good health,2022,67.9
Estonia,"Fair (not good, not bad) health",2004,35
Estonia,"Fair (not good, not bad) health",2005,29.9
Estonia,"Fair (not good, not bad) health",2006,31.7
Estonia,"Fair (not good, not bad) health",2007,32
Estonia,"Fair (not good, not bad) health",2008,30.7
Estonia,"Fair (not good, not bad) health",2009,34.3
Estonia,"Fair (not good, not bad) health",2010,32.4
Estonia,"Fair (not good, not bad) health",2011,32
Estonia,"Fair (not good, not bad) health",2012,31.4
Estonia,"Fair (not good, not bad) health",2013,30.9
Estonia,"Fair (not good, not bad) health",2014,31.7
Estonia,"Fair (not good, not bad) health",2015,32.8
Estonia,"Fair (not good, not bad) health",2016,32.8
Estonia,"Fair (not good, not bad) health",2017,32.9
Estonia,"Fair (not good, not bad) health",2018,33.7
Estonia,"Fair (not good, not bad) health",2019,30.2
Estonia,"Fair (not good, not bad) health",2020,30.2
Estonia,"Fair (not good, not bad) health",2021,29.7
Estonia,"Fair (not good, not bad) health",2022,29.3
Spain,"Fair (not good, not bad) health",2004,21.9
Spain,"Fair (not good, not bad) health",2005,20.7
Spain,"Fair (not good, not bad) health",2006,20
Spain,"Fair (not good, not bad) health",2007,20.9
Spain,"Fair (not good, not bad) health",2008,19.6
Spain,"Fair (not good, not bad) health",2009,20.8
Spain,"Fair (not good, not bad) health",2010,20.1
Spain,"Fair (not good, not bad) health",2011,17.2
Spain,"Fair (not good, not bad) health",2012,17.6
Spain,"Fair (not good, not bad) health",2013,19.9
Spain,"Fair (not good, not bad) health",2014,19.1
Spain,"Fair (not good, not bad) health",2015,20.2
Spain,"Fair (not good, not bad) health",2016,20.6
Spain,"Fair (not good, not bad) health",2017,19.2
Spain,"Fair (not good, not bad) health",2018,19.1
Spain,"Fair (not good, not bad) health",2019,17.6
Spain,"Fair (not good, not bad) health",2020,20.4
Spain,"Fair (not good, not bad) health",2021,21.2
Spain,"Fair (not good, not bad) health",2022,22.8
Bulgaria,Bad/very bad health,2008,13.9
Bulgaria,Bad/very bad health,2009,13
Bulgaria,Bad/very bad health,2010,12.3
Bulgaria,Bad/very bad health,2011,11.9
Bulgaria,Bad/very bad health,2012,11.9
Bulgaria,Bad/very bad health,2013,11.6
Bulgaria,Bad/very bad health,2014,12.1
Bulgaria,Bad/very bad health,2015,12.3
Bulgaria,Bad/very bad health,2016,11.1
Bulgaria,Bad/very bad health,2017,11
Bulgaria,Bad/very bad health,2018,10.8
Bulgaria,Bad/very bad health,2019,9.3
